EVCount,StationCount,TotalChargers,EVsPerCharger,CoverageGapFlag,StationKey,CalendarKey,GeographyKey,VehicleKey,ZipCode,City,County,State,Latitude,Longitude
22,0,0,0.0,1,0,1,197,1,98355,Mineral,Lewis,WA,,
28,3,3,9.33,0,297,1,198,1,98356,Morton,Lewis,WA,,
11,3,5,2.2,0,352,1,199,1,98357,Neah Bay,Clallam,WA,,
70,1,2,35.0,1,1029,1,200,1,98358,Nordland,Jefferson,WA,,
176,0,0,0.0,1,0,1,201,1,98359,Olalla,Kitsap,WA,,
274,0,0,0.0,1,0,1,202,1,98360,Orting,Pierce,WA,,
40,2,2,20.0,1,2080,1,203,1,98361,Packwood,Lewis,WA,,
486,18,34,14.29,1,19,1,204,1,98362,Port Angeles,Clallam,WA,,
276,4,8,34.5,1,288,1,205,1,98363,Port Angeles,Clallam,WA,,
270,0,0,0.0,1,0,1,206,1,98365,Port Ludlow,Jefferson,WA,,
871,4,10,87.1,1,174,1,207,1,98366,Port Orchard,Kitsap,WA,,
1136,2,10,113.6,1,1478,1,208,1,98367,Port Orchard,Kitsap,WA,,
949,12,25,37.96,1,112,1,209,1,98368,Port Townsend,Jefferson,WA,,
1250,9,42,29.76,1,208,1,210,1,98370,Bremerton,Kitsap,WA,,
735,10,17,43.24,1,20,1,211,1,98371,Edgewood,Pierce,WA,,
633,5,8,79.13,1,751,1,212,1,98372,Edgewood,Pierce,WA,,
581,4,10,58.1,1,767,1,213,1,98373,Puyallup,Pierce,WA,,
1209,4,12,100.75,1,2134,1,214,1,98374,Puyallup,Pierce,WA,,
669,3,6,111.5,1,1690,1,215,1,98375,Puyallup,Pierce,WA,,
63,0,0,0.0,1,0,1,216,1,98376,Quilcene,Jefferson,WA,,
15,2,2,7.5,0,2079,1,217,1,98377,Packwood,Lewis,WA,,
155,0,0,0.0,1,0,1,218,1,98380,Bremerton,Kitsap,WA,,
7,0,0,0.0,1,0,1,219,1,98381,Sekiu,Clallam,WA,,
956,9,22,43.45,1,67,1,220,1,98382,Gardiner,Jefferson,WA,,
615,11,32,19.22,1,222,1,221,1,98383,Silverdale,Kitsap,WA,,
6,1,1,6.0,0,2330,1,222,1,98385,South Prairie,Pierce,WA,,
760,0,0,0.0,1,0,1,223,1,98387,Spanaway,Pierce,WA,,
249,1,1,249.0,1,567,1,224,1,98388,Steilacoom,Pierce,WA,,
281,6,23,12.22,1,229,1,225,1,98390,Sumner,Pierce,WA,,
2405,2,3,801.67,1,1407,1,226,1,98391,Bonney Lake,Pierce,WA,,
105,3,18,5.83,0,1240,1,227,1,98392,Poulsbo,Kitsap,WA,,
45,0,0,0.0,1,0,1,228,1,98394,Vaughn,Pierce,WA,,
5,0,0,0.0,1,0,1,229,1,98396,Wilkeson,Pierce,WA,,
240,19,63,3.81,0,32,1,230,1,98402,Tacoma,Pierce,WA,,
275,5,10,27.5,1,576,1,231,1,98403,Tacoma,Pierce,WA,,
